step,mean_reward,loss,skipped
0,0.9583333134651184,0.03523094207048416,False
1,0.5416666865348816,0.023117760196328163,False
2,1.0,,True
3,0.5,,True
4,0.7083333134651184,0.02075806073844433,False
5,0.7916666865348816,0.009548744186758995,False
6,0.625,0.0064032129012048244,False
7,1.0,,True
8,0.75,,True
9,0.8333333134651184,0.0050129760056734085,False
10,1.0,,True
11,1.0,,True
12,1.0,,True
13,1.0,,True
14,1.0,,True
15,1.0,,True
16,1.0,,True
17,0.9583333134651184,0.00845564529299736,False
18,1.0,,True
19,1.0,,True
20,1.0,,True
21,1.0,,True
22,1.0,,True
23,1.0,,True
24,1.0,,True
25,1.0,,True
26,1.0,,True
27,1.0,,True
28,1.0,,True
29,1.0,,True
30,1.0,,True
31,1.0,,True
32,1.0,,True
33,1.0,,True
34,1.0,,True
35,1.0,,True
36,0.9166666865348816,-0.018864456564188004,False
37,0.9583333134651184,-0.026832811534404755,False
38,1.0,,True
39,1.0,,True
40,1.0,,True
41,1.0,,True
42,1.0,,True
43,1.0,,True
44,1.0,,True
45,1.0,,True
46,1.0,,True
47,1.0,,True
48,0.9583333134651184,0.004219002556055784,False
49,1.0,,True
50,1.0,,True
51,1.0,,True
52,1.0,,True
53,1.0,,True
54,1.0,,True
55,1.0,,True
56,1.0,,True
57,1.0,,True
58,1.0,,True
59,1.0,,True
